GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US53001,53001,"Adams County, Washington",18728
0500000US53003,53003,"Asotin County, Washington",21623
0500000US53005,53005,"Benton County, Washington",175177
0500000US53007,53007,"Chelan County, Washington",72453
0500000US53009,53009,"Clallam County, Washington",71404
0500000US53011,53011,"Clark County, Washington",425363
0500000US53013,53013,"Columbia County, Washington",4078
0500000US53015,53015,"Cowlitz County, Washington",102410
0500000US53017,53017,"Douglas County, Washington",38431
0500000US53019,53019,"Ferry County, Washington",7551
0500000US53021,53021,"Franklin County, Washington",78163
0500000US53023,53023,"Garfield County, Washington",2266
0500000US53025,53025,"Grant County, Washington",89120
0500000US53027,53027,"Grays Harbor County, Washington",72797
0500000US53029,53029,"Island County, Washington",78506
0500000US53031,53031,"Jefferson County, Washington",29872
0500000US53033,53033,"King County, Washington",1931249
0500000US53035,53035,"Kitsap County, Washington",251133
0500000US53037,53037,"Kittitas County, Washington",40915
0500000US53039,53039,"Klickitat County, Washington",20318
0500000US53041,53041,"Lewis County, Washington",75455
0500000US53043,53043,"Lincoln County, Washington",10570
0500000US53045,53045,"Mason County, Washington",60699
0500000US53047,53047,"Okanogan County, Washington",41120
0500000US53049,53049,"Pacific County, Washington",20920
0500000US53051,53051,"Pend Oreille County, Washington",13001
0500000US53053,53053,"Pierce County, Washington",795225
0500000US53055,53055,"San Juan County, Washington",15769
0500000US53057,53057,"Skagit County, Washington",116901
0500000US53059,53059,"Skamania County, Washington",11066
0500000US53061,53061,"Snohomish County, Washington",713335
0500000US53063,53063,"Spokane County, Washington",471221
0500000US53065,53065,"Stevens County, Washington",43531
0500000US53067,53067,"Thurston County, Washington",252264
0500000US53069,53069,"Wahkiakum County, Washington",3978
0500000US53071,53071,"Walla Walla County, Washington",58781
0500000US53073,53073,"Whatcom County, Washington",201140
0500000US53075,53075,"Whitman County, Washington",44776
0500000US53077,53077,"Yakima County, Washington",243231
